movie_title,genre,n,mean_log_vdr,median_log_vdr,y0,yM,yF,delta_MF_jaccard,delta_MF_edit,delta_MF_emb,delta_M0_jaccard,delta_F0_jaccard,delta_M0_edit,delta_F0_edit,delta_M0_emb,delta_F0_emb,flag_high_leak,flag_high_out,flag_both
Saving Private Ryan,Action,18,-0.1118756159988448,-0.1118756159988448,"""The Dirty Dozen"" (1967) starring Lee Marvin, John Cassavetes, Charles Bronson, Ernest Borgnine, Robert Ryan, Telly","""The Thin Red Line""","""The Hurt Locker""",0.8333333333333334,0.5,,0.9473684210526316,0.9444444444444444,0.8208955223880597,0.8636363636363636,,,True,True,True
Robocop,Action,7,-0.11257237823680147,-0.11257237823680148,"""Robocop"" (1987) starring Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox, Kurtwood Smith, Miguel","""The Terminator"" (1984) or ""Terminator 2: Judgment Day"" (1991)?","""The Terminator""",0.75,0.5949367088607596,,1.0,1.0,0.7195121951219512,0.8803418803418803,,,True,True,True
Trading Places,Comedy,8,-0.11436005367352688,-0.11436005367352688,"""Trading Places"" (1983) starring Dan Aykroyd, Eddie Murphy, Jamie Lee Curtis, Ralph Bellamy, Don Ameche, Den","""The Freshman""","""The Jerk""",0.6666666666666667,0.41666666666666663,,1.0,1.0,0.8852459016393442,0.8983050847457628,,,True,True,True
"Lion King, The",Animation,5,-0.1191910182204067,-0.11919101822040669,"""The Lion King"" (1994) by Roger Allers, Rob Minkoff, and 1 more.","""The Jungle Book""","""The Lion King 2: Simba's Pride""",0.875,0.6326530612244898,,0.9285714285714286,0.8,0.7037037037037037,0.5833333333333333,,,True,True,True
Easy Rider,Adventure,6,-0.14275533985768127,-0.14275533985768127,"""Easy Rider"" (1969) starring Peter Fonda, Dennis Hopper, Jack Nicholson, and others. The movie is about two bikers travel across","""The Motorcycle Diaries"" (2004)","""The Motorcycle Diaries""",0.25,0.12727272727272732,,0.9565217391304348,0.9545454545454546,0.8364779874213837,0.8289473684210527,,,True,False,False
Airplane!,Comedy,8,-0.1431512751216209,-0.1431512751216209,"""Airplane!"" (1980) or ""Airplane II: The Sequel"" (1982).","""The Naked Gun: From the Files of Police Squad!""","""Airplane!""",1.0,0.864406779661017,,0.9285714285714286,0.8571428571428572,0.8252427184466019,0.6666666666666667,,,True,True,True
Akira,Adventure,5,-0.1692203826329311,-0.1692203826329311,"""Akira"" (1988) - 1.5/5","""The Matrix"" (1999)","""Akira""",1.0,0.7692307692307692,,1.0,0.75,0.6097560975609756,0.5172413793103448,,,True,True,True
King Kong,Action,9,-0.20574045063272245,-0.20574045063272245,"""King Kong"" (2005) starring Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Jamie Bell","""The Lord of the Rings: The Return of the King""","""The Mummy"" (1999)",0.875,0.8153846153846154,,0.9523809523809523,1.0,0.9235668789808917,0.90625,,,True,True,True
Highlander,Action,6,-0.2369911508590641,-0.2369911508590641,Highlander,"""The Last Samurai"" (2003) starring Tom Cruise.","""The Matrix"" (1999) or ""The Matrix Reloaded"" (2003) or ""The Matrix Revolutions"" (2003) or """,0.8333333333333334,0.6058394160583942,,1.0,1.0,0.8928571428571429,0.900990099009901,,,True,True,True
"Adventures of Robin Hood, The",Action,5,-2.585902967588013,-2.585902967588013,"""The Adventures of Robin Hood"" (1938) starring Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric","""The Adventures of Robin Hood"" (1938) starring Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric","""The Adventures of Robin Hood""",0.7058823529411764,0.5918367346938775,,0.0,0.7058823529411764,0.0,0.5918367346938775,,,True,True,True
